"","site_id","province","latitude_y","longtitude_x","region","land_class","depth_filled","depth","full_wetland_area_m2","total_em_area_m2","total_mass_Mg","aerial_gpp","aerial_r","aerial_nep","flux_co2","flux_ch4","flux_n2o","pl_flux_co2","log_flux_ch4","pl_flux_n2o","gwp_co2","gwp_ch4","gwp_n2o","gwp_sum","pl_gwp_co2","log_gwp_ch4","pl_gwp_n2o","pl_gwp_sum","total_density","wetlandBirdRichness","wetlandArea_250m","wetlandArea_500m","wetlandArea_1km","wetlandArea_5km"
"1","MB01","MB",50.1027790000001,-100.211482,NA,"Cropland",NA,NA,NA,NA,NA,NA,NA,NA,593.773333333333,81.25,0.0433333333333333,4.08419607344832,1.90982336965091,3.76945428126363,26126.0266666667,44200,568.186666666667,70894.2133333333,3.26439385140243,4.64542226934909,4.04017452112547,4.26138771934732,NA,14,23790.7540781338,120000.956501507,424192.724083546,8725594.53622622
"2","MB02","MB",50.107042,-100.217505,NA,"Cropland",NA,NA,NA,NA,NA,NA,NA,NA,578.446666666667,24.89,0.0333333333333333,4.05805998687524,1.39602489660859,3.50745668474426,25451.6533333333,13540.16,437.066666666667,39428.88,3.23832086060139,4.13162379630677,3.77802372065525,3.67514116012164,NA,17,16822.5121529647,64221.962711243,220780.35019445,7718124.40999817
"3","MB03","MB",50.0958460000001,-100.231035,NA,"Cropland",NA,NA,NA,NA,NA,NA,NA,NA,589.42,10,0.0633333333333333,4.07684162476432,1,4.14866099779189,25934.48,5440,830.426666666667,32204.9066666667,3.25705682648419,3.73559889969818,4.41949951023257,3.4730816055209,NA,6,3212.16996842716,14267.8395790805,71590.8188771966,7305577.46120846
"4","MB04","MB",50.0998690000001,-100.228792,NA,"Cropland",NA,NA,NA,NA,NA,NA,NA,NA,702.926666666667,9.76666666666667,0.0633333333333333,4.2528698028863,0.989746365634447,4.14866099779189,30928.7733333333,5313.06666666667,830.426666666667,37072.2666666667,3.4327306720443,3.72534526533263,4.41949951023257,3.61359598314636,NA,11,13250.5832759769,20288.4280586949,91441.3567347657,7558372.25648266
"5","MB05","MB",50.098849,-100.213413,NA,"Cropland",NA,NA,NA,NA,NA,NA,NA,NA,413.87,42.06,0.0466666666666667,3.72355012204242,1.6238692683503,3.84348900166254,18210.28,22880.64,611.893333333333,41702.8133333333,2.9049882716731,4.35946816804848,4.11423985987234,3.73114309916408,NA,16,15808.0176926952,79947.5201612849,412215.19696366,9149552.37005981
"6","MB06","MB",50.0986560000001,-100.211296,NA,"Cropland",NA,NA,NA,NA,NA,NA,NA,NA,546.396666666667,13.08,0.0333333333333333,4.00109489957713,1.11660774398825,3.50745668474426,24041.4533333333,7115.52,437.066666666667,31594.04,3.18150521911502,3.85220664368643,3.77802372065525,3.45396881302991,NA,15,24061.0187396253,83186.4889790556,436369.269307526,9483327.52298111
"7","MB08","MB",50.122153,-100.275535,NA,"Grassland",NA,NA,NA,NA,NA,NA,NA,NA,294.293333333333,3.98333333333333,0.02,3.38314453496224,0.600246650564494,2.99822295029797,12948.9066666667,2166.93333333333,262.24,15378.08,2.56692264783426,3.33584555026267,3.2681259867806,2.73714513847247,NA,23,29199.6612192596,114068.132227336,471072.351539044,7925216.43625856
"8","MB09","MB",50.11938,-100.272737,NA,"Grassland",NA,NA,NA,NA,NA,NA,NA,NA,438.406666666667,3.98333333333333,0.0266666666666667,3.78108173401848,0.600246650564494,3.28481763893281,19289.8933333333,2166.93333333333,349.653333333333,21806.48,2.96225797765439,3.33584555026267,3.55517403876021,3.08430352017019,NA,20,29854.5707225446,93768.4484692557,423543.393815213,7938878.96103172
"9","MB10","MB",50.150564,-100.335437,NA,"Cropland",NA,NA,NA,NA,NA,NA,NA,NA,407.091265535,10.2909147036667,0.040437328,3.70705517697791,1.01245397856221,3.70036431294217,17912.01568354,5598.25759879467,530.214244736,24040.4875270707,2.88857409856764,3.74805287826039,3.97105158851246,3.1814651840657,NA,22,13067.4891719189,56451.5808084665,416377.041627789,8882229.78445843
"10","MB11","MB",50.149457,-100.323679,NA,"Both",NA,NA,NA,NA,NA,NA,NA,NA,191.9544788,5.01117531766667,0.00764849749999999,2.95737613949293,0.699939596947888,2.05118100513294,8445.9970672,2726.07937281067,100.28709922,11272.3635392307,2.14742508460251,3.43553849664607,2.31524970190662,2.43013262893615,NA,16,78461.5405500816,189463.394378742,527485.965167067,9394001.48307948
