"","site_id","province","latitude_y","longtitude_x","region","land_class","depth_filled","depth","Area.Ha","total_em_area_m2","total_mass_Mg","aerial_gpp","aerial_r","aerial_nep","total_density","wetlandBirdRichness","flux_co2","flux_ch4","flux_n2o","pl_flux_co2","log_flux_ch4","pl_flux_n2o","gwp_co2_g","gwp_ch4_g","gwp_n2o_g","gwp_sum_g","pl_gwp_co2_g","log_gwp_ch4_g","pl_gwp_n2o_g","pl_gwp_sum_g","richnessConfirmed","wetlandArea_250m","wetlandArea_500m","wetlandArea_1km","wetlandArea_5km"
"1","AB-B-05","AB",50.667544,-112.238372,"B","Cropland",85,NA,0.76,7263.519722,6.385235238,3.57095791,34.53987846,-30.96892055,0.371869398,NA,956.4810441,73.40063281,0.112710671,4.560785167,4.295932557,4.724902807,42.09473075,40.02976911,1.545373752,83.66987361,3.74048644,3.689623405,2.742012116,4.427021793,NA,20682.2451561324,41040.9329161464,121016.329484773,9843795.88787036
"2","AB-B-06","AB",50.67259,-112.237256,"B","Cropland",50,NA,0.05,10250.19453,8.31050023,3.162367171,2.26254065,0.899826521,0.446716488,NA,343.2932164,18.32806163,0.152880101,3.536847304,2.908433308,5.029696743,15.10833445,9.995391689,2.096136007,27.19986215,2.719598965,2.302124156,3.044948957,3.30456083,NA,14587.0637449735,26871.6217985179,176555.423762446,10330618.3424117
"3","AB-B-07","AB",50.677716,-112.256461,"B","Cropland",NA,NA,0.07,5400.159693,6.376993273,NA,NA,NA,0.397936002,NA,126.3626765,4.27100034,-0.001037012,2.542775748,1.451848071,-0.497702537,5.561221393,2.329232745,-0.014218451,7.876235687,1.74668747,0.84553892,-0.071032505,2.079593615,NA,12870.8179045328,44520.7194366129,203177.234502521,11263125.2027608
"4","AB-B-08","AB",50.684735,-112.30429,"B","Cropland",40,NA,0.05,6599.731097,5.290139882,16.66884459,15.65801251,1.010832087,0.079882711,12,371.6023965,1.320100415,0.002625952,3.615962752,0.277707806,1.086337811,16.35422147,0.719929962,0.03600437,17.1101558,2.798204131,-0.328601346,0.179063408,2.843070621,12,54340.4546672083,152489.839716066,441595.159997342,10470500.6031249
"5","AB-DB-06","AB",50.651525,-113.142598,"DB","Both",50,50,0.78,675.2747454,1.449806979,NA,NA,NA,0.109422616,NA,180.0770282,13.42537846,0.001971765,2.893869213,2.59714683,0.871355752,7.925190013,7.321664395,0.027034833,15.27388924,2.085600353,1.990837678,0.134765861,2.730403963,NA,18442.6620754676,38269.2831541133,89268.9927523511,2263852.13812961
"6","AB-DB-07","AB",50.613987,-113.13542,"DB","Cropland",NA,NA,0.05,NA,NA,NA,NA,NA,NA,13,318.2135448,42.32653993,-0.000937205,3.461123687,3.745414311,-0.452954135,14.00457811,23.08320182,-0.012849996,37.07492993,2.64444443,3.139105159,-0.064205855,3.613667716,13,17499.1140518277,25273.0604617974,49815.3855414083,3519572.00340395
"7","AB-DB-09","AB",50.554498,-113.076941,"DB","Cropland",84,84,0.08,NA,NA,21.04412605,18.45015784,2.593968216,NA,NA,62.75663502,7.348984292,-0.000451917,1.861154387,1.994562112,-0.224078772,2.761919507,4.007842073,-0.00619623,6.76356535,1.126865073,1.38825296,-0.030976198,1.932726247,NA,18323.5532318136,45538.0687470029,198414.12787839,5260331.62519637
"8","AB-DB-15","AB",50.593535,-113.029702,"DB","Grassland",20.9,NA,0.02,1855.535465,2.016764869,9.907363421,13.17996783,-3.27260441,0.257646284,NA,36.95660437,1.17854438,-0.001323281,1.373435992,0.164280101,-0.620958423,1.626460158,0.642730963,-0.018143485,2.251047636,0.742965908,-0.442029051,-0.090593456,0.967407592,NA,38026.4175467008,137528.114503942,393371.58498695,5864802.85602877
"9","AB-DB-17","AB",50.57055726,-113.0323032,"DB","Grassland",72.6,72.6,6.91,NA,NA,23.81101372,43.97358874,-20.16257502,NA,NA,268.7013654,42.05455264,0.015171821,3.292397669,3.738967648,2.723756134,11.82554709,22.93487083,0.208020534,34.96843845,2.477337541,3.132658496,0.909448089,3.555262696,NA,96982.4060173549,207493.870434293,372288.539131454,5954933.96737284
"10","AB01","AB",53.118354,-112.783658,NA,"Cropland",55.98,58.86666667,0.56,NA,NA,18.73888304,28.18117278,-9.442289742,NA,18,78.38258584,18.39037098,0.030590252,2.074909583,2.911827212,3.421748326,3.449617603,10.02937272,0.41942233,13.89841265,1.313331206,2.30551806,1.486240342,2.63691179,18,16300.8419426278,95309.422341593,433516.709368239,11664041.4194319
"11","AB02","AB",53.129877,-112.797618,NA,"Cropland",75.08928571,84.1,4.5,17861.55004,23.76327157,20.0258804,34.32581037,-14.29992997,0.30053997,25,40.00825212,14.01906925,-0.002761173,1.443819983,2.640418492,-1.126646268,1.760763176,7.645439604,-0.037858394,9.368344386,0.794213386,2.03410934,-0.188179383,2.248540392,25,64113.384459189,117647.531729862,372276.145731825,10374964.1958486
"12","AB03","AB",53.130856,-112.795297,NA,"Cropland",73.87619048,81.23571429,0.37,11994.70952,17.65080225,23.73930597,32.97141824,-9.232112264,0.566759895,20,95.10572877,51.21690652,-0.000574333,2.263280859,3.936069683,-0.28335931,4.185603123,27.93165214,-0.007874668,32.1093806,1.484383655,3.329760531,-0.039363175,3.47011673,20,47314.7277379127,121523.796517691,351604.380494802,10258573.8266242
"13","AB04","AB",53.136248,-112.802011,NA,"Grassland",78.41071429,87.58571429,0.39,2168.461376,1.597876872,10.08415358,27.57782351,-17.49366992,0.155215294,19,398.8767175,49.33721126,0.015042206,3.686695231,3.898678589,2.715250493,17.55456434,26.90654153,0.206243383,44.66734925,2.868543349,3.292369437,0.903275916,3.799743626,19,61994.451254056,136617.70618941,317286.385645189,10281445.77481
"14","AB05","AB",53.136036,-112.800522,NA,"Grassland",73.38888889,81.65,0.69,5308.031746,5.932403097,22.64426235,34.23224348,-11.58798113,0.345002034,19,82.85770262,26.47378421,-0.001911582,2.128797093,3.276154968,-0.849765224,3.646567492,14.43774296,-0.026209667,18.05810078,1.361692751,2.669845816,-0.130676108,2.896646961,19,55153.6735680666,137971.790574386,301865.963773964,10269598.3248473
"15","AB06","AB",53.17982,-112.910165,NA,"Grassland",70.93333333,96.9,0.16,310.0025427,0.329874713,7.053458124,10.18024539,-3.126787268,0.027948866,27,15.35485379,1.375059534,-0.00070192,0.707280932,0.318497027,-0.344127582,0.675767115,0.749902467,-0.009624013,1.41604557,0.331763916,-0.287812125,-0.048101513,0.659226701,27,43103.3602469626,179934.020475138,429275.708450485,9627265.17324395
"16","AB07","AB",53.135647,-112.870127,NA,"Grassland",45.38571429,36.53571429,1.8,NA,NA,14.80815097,28.59069333,-13.78254236,NA,21,269.2645393,17.17901396,0.003055007,3.294485622,2.84368852,1.209923127,11.85033238,9.368747055,0.041887135,21.26096657,2.479402001,2.237379369,0.207934042,3.05907778,21,36197.5839857953,162543.0500381,374326.10138021,11487402.1106053
"17","AB08","AB",53.153452,-112.97187,NA,"Cropland",96.8,96.8,0.01,NA,NA,8.006027983,21.47822745,-13.47219947,NA,19,231.5797311,107.3235592,0.024523943,3.144198595,4.675848189,3.201308495,10.19182397,58.52997625,0.336247292,69.0580475,2.331076821,4.069539037,1.291267752,4.23515704,19,14566.5565653011,80856.9844159173,354006.293190302,8574686.69348538
"18","AB09","AB",53.154903,-112.971099,NA,"Cropland",97.3,97.3,0.01,NA,NA,10.1356499,11.85849372,-1.722843815,NA,20,175.4037357,50.76226197,0.017166692,2.867739843,3.927153204,2.846347187,7.719518407,27.68370719,0.235372171,35.63859776,2.060125731,3.320844052,1.001075109,3.574215663,20,27028.6130105904,117410.17952771,450798.569255733,8668300.8168666
"19","AB10","AB",53.188274,-112.857134,NA,"Cropland",57.82380952,57.82380952,0.23,2468.022854,0.985406201,17.05542103,21.9411512,-4.885730176,0.100408763,19,1.905423501,3.064236615,-0.004198613,0.095127638,1.119798473,-1.487184718,0.083857688,1.67111208,-0.057567104,1.697402665,0.041916568,0.513489321,-0.284002284,0.77024761,19,23315.8340016112,116956.52544851,289052.933886405,10667295.4690484
"20","AB11","AB",53.188609,-112.859274,NA,"Cropland",97.4,97.4,0.1,2519.772494,1.550787808,10.80655003,25.6153789,-14.80882886,0.346679307,18,206.057673,23.64144824,0.003426218,3.027917896,3.163001453,1.307447903,9.068598188,12.89310021,0.046976803,22.0086752,2.216761332,2.556692301,0.232776158,3.093494826,18,28841.2161443633,72889.4227802937,294088.801317512,10675234.3244756
"21","AB12","AB",53.188433,-112.861931,NA,"Cropland",97.8,97.8,0.05,4706.51318,3.496830226,6.888448286,15.71659702,-8.828148734,0.319750648,15,207.1147647,2.289334401,0.001224495,3.033011047,0.828261121,0.579298693,9.115120796,1.248511409,0.016789028,10.38042123,2.221758809,0.221951969,0.083846863,2.34907534,15,22958.7860926882,55147.2599016712,272567.302286162,10627058.554758
"22","AB13","AB",53.021982,-112.969,NA,"Grassland",100.8,100.8,0.16,NA,NA,26.12242479,42.41176431,-16.28933951,NA,17,174.2917357,11.44759532,0.022487058,2.861421206,2.437779692,3.114911671,7.670579289,6.243060585,0.308319598,14.22195947,2.053970398,1.83147054,1.217618318,2.659694975,17,43856.8239991611,119260.069921621,479004.40286498,11313696.4604799
"23","AB14","AB",53.076823,-113.195184,NA,"Grassland",93.5,93.5,0.01,NA,NA,26.08088627,42.92685472,-16.84596845,NA,9,163.6696914,56.38652257,0.032937163,2.798977542,4.032230168,3.495522104,7.203103119,30.75095395,0.451600783,38.40565785,1.993250947,3.425921016,1.553403835,3.648882069,9,21758.1424166559,65395.8202894847,405017.297991334,10788004.8620361
"24","AB15","AB",53.092983,-113.200383,NA,"Grassland",35.07142857,35.07142857,0.39,933.2613121,1.392874157,14.24244607,1.968540706,12.27390536,0.123139561,19,53.66858793,2.710360426,0.019031034,1.71328106,0.997081625,2.9488207,2.361954555,1.478122162,0.260934125,4.101010842,1.003737887,0.390772473,1.081295579,1.465996696,19,54975.1495270857,195761.251836998,641093.443431941,10577230.5260738
"25","AB16","AB",53.176439,-113.128122,NA,"Grassland",95.1,95.1,0.002,NA,NA,11.78453672,23.06856823,-11.2840315,NA,28,93.35820847,9.120626964,0.02107143,2.245139607,2.210538548,3.05016275,4.108694755,4.974025121,0.288909955,9.371629831,1.467679491,1.604229396,1.163606113,2.248883303,28,127860.639846387,405185.246387998,997116.606677745,17770834.2557179
"26","MB01","MB",50.102779,-100.211482,NA,"Cropland",NA,NA,0.01,NA,NA,NA,NA,NA,NA,14,392.8181033,43.20002739,0.019803418,3.671409004,3.765841129,2.988394751,17.28792472,23.55956694,0.271524274,41.11901593,2.853337506,3.159531977,1.113100636,3.717061611,14,23790.7540781338,120000.956501507,424192.724083546,8725594.53622622
