"","site_id","province","latitude_y","longtitude_x","region","land_class","depth_filled","depth","Area.Ha","total_em_area_m2","total_mass_Mg","aerial_gpp","aerial_r","aerial_nep","wetlandBirdRichness","flux_co2","flux_ch4","flux_n2o","pl_flux_co2","log_flux_ch4","pl_flux_n2o","gwp_co2_g","gwp_ch4_g","gwp_n2o_g","gwp_sum_g","pl_gwp_co2_g","log_gwp_ch4_g","pl_gwp_n2o_g","pl_gwp_sum_g","wetlandArea_250m","wetlandArea_500m","wetlandArea_1km","wetlandArea_5km","richness_sd","pl_flux_ch4","plgwp_sum_g","n_co2","n_n2o","sd_co2","sd_ch4","sd_n2o","sd_gwp_sum_g","se_co2","se_ch4","se_n2o","se_gwp","co295","ch495","n2o95","gwp95","fluxco2_low","fluxco2_up","fluxch4_low","fluxch4_up","fluxn2o_low","fluxn2o_up","gwp_low","gwp_up","plfluxco2_low","plfluxco2_up","plfluxch4_low","plfluxch4_up","plfluxn2o_low","plfluxn2o_up","plgwp_low","plgwp_up","total_density","total_density_lo","total_density_hi"
"1","AB-B-05","AB",50.667544,-112.238372,"B","Cropland",85,NA,0.76,7263.519722,6.385235238,3.57095791,34.53987846,-30.96892055,NA,956.4810441,73.40063281,0.112710671,4.560785167,4.295932557,4.724902807,42.09473075,40.02976911,1.545373752,83.66987361,3.74048644,3.689623405,2.742012116,4.427021793,20682.2451561324,41040.9329161464,121016.329484773,9843795.88787036,NA,4.296118115,4.427021793,4,4,229.1477376,69.51355498,0.196476739,50.54732666,114.5738688,34.75677749,0.09823837,25.27366333,224.5647828,68.12328388,0.192547205,49.53638013,731.9162613,1181.045827,5.277348929,141.5239167,-0.079836534,0.305257875,34.13349348,133.2062537,4.293267636,4.77164221,1.697537232,4.952518649,-4.380138071,5.721167644,3.531136312,4.89195506,0.371869397848911,0.371536856832851,0.372201938864971
"2","AB-B-06","AB",50.67259,-112.237256,"B","Cropland",50,NA,0.05,10250.19453,8.31050023,3.162367171,2.26254065,0.899826521,NA,343.2932164,18.32806163,0.152880101,3.536847304,2.908433308,5.029696743,15.10833445,9.995391689,2.096136007,27.19986215,2.719598965,2.302124156,3.044948957,3.30456083,14587.0637449735,26871.6217985179,176555.423762446,10330618.3424117,NA,2.91139702,3.30456083,7,7,325.2526108,13.54031279,0.398227358,19.18313067,122.9339316,5.117757187,0.150515794,7.250541875,240.950506,10.03080409,0.295010956,14.21106208,102.3427104,584.2437224,8.29725754,28.35886571,-0.142130855,0.447891057,12.98880007,41.41092423,2.335155518,4.068025969,2.130143893,3.346180825,-4.956797642,6.10455501,2.569962805,3.724127343,0.654930320854752,0.65451724988433,0.655343391825173
"3","AB-B-07","AB",50.677716,-112.256461,"B","Cropland",NA,NA,0.07,5400.159693,6.376993273,NA,NA,NA,NA,126.3626765,4.27100034,-0.001037012,2.542775748,1.451848071,-0.497702537,5.561221393,2.329232745,-0.014218451,7.876235687,1.74668747,0.84553892,-0.071032505,2.079593615,12870.8179045328,44520.7194366129,203177.234502521,11263125.2027608,NA,1.502641241,2.079593615,6,6,63.09664496,0.80670311,0.000201366,2.354184516,25.75909744,0.329335165,8.22073379790393e-05,0.961091804,50.48783098,0.645496924,0.000161126,1.883739936,75.87484551,176.8505075,3.625503416,4.916497264,-0.001198138,-0.000875886,5.992495751,9.759975623,2.043434428,2.875901795,1.356616806,1.631612462,-0.568026573,-0.425029763,1.817259265,2.28862625,0.575872171179178,0.57542099838481,0.576323343973545
"4","AB-B-08","AB",50.684735,-112.30429,"B","Cropland",40,NA,0.05,6599.731097,5.290139882,16.66884459,15.65801251,1.010832087,12,371.6023965,1.320100415,0.002625952,3.615962752,0.277707806,1.086337811,16.35422147,0.719929962,0.03600437,17.1101558,2.798204131,-0.328601346,0.179063408,2.843070621,54340.4546672083,152489.839716066,441595.159997342,10470500.6031249,0.546790249087129,0.619631487,2.843070621,5,5,92.30812891,0.298466274,0.006405252,3.981766399,41.28145022,0.133478176,0.002864516,1.780700068,80.91164244,0.261617224,0.005614451,3.490172133,290.690754,452.5140389,1.058483191,1.581717639,-0.002988499,0.008240402,13.61998367,20.60032793,3.370856229,3.812721693,0.507212202,0.725514269,-1.1915692,2.123460728,2.616885747,3.027655124,0.0995763506487086,0.099496005915952,0.099656695381465
"5","AB-DB-06","AB",50.651525,-113.142598,"DB","Both",50,50,0.78,675.2747454,1.449806979,NA,NA,NA,NA,180.0770282,13.42537846,0.001971765,2.893869213,2.59714683,0.871355752,7.925190013,7.321664395,0.027034833,15.27388924,2.085600353,1.990837678,0.134765861,2.730403963,18442.6620754676,38269.2831541133,89268.9927523511,2263852.13812961,NA,2.602649353,2.730403963,6,6,74.45734752,2.369580304,0.003274971,4.495776163,30.39708484,0.967377108,0.001337001,1.835392933,59.57828628,1.896059132,0.002620522,3.597370148,120.498742,239.6553145,11.52931932,15.32143759,-0.000648757,0.004592288,11.67651909,18.87125939,2.495871219,3.178353188,2.452332823,2.733485947,-0.318943624,1.568739885,2.464835053,2.940436351,0.228478322828854,0.228228383281716,0.228728262375993
"6","AB-DB-07","AB",50.613987,-113.13542,"DB","Cropland",NA,NA,0.05,NA,NA,NA,NA,NA,13,318.2135448,42.32653993,-0.000937205,3.461123687,3.745414311,-0.452954135,14.00457811,23.08320182,-0.012849996,37.07492993,2.64444443,3.139105159,-0.064205855,3.613667716,17499.1140518277,25273.0604617974,49815.3855414083,3519572.00340395,0.903508179511809,3.745972024,3.613667716,4,4,1.864743543,0.451307359,0.000183855,0.318882374,0.932371772,0.225653679,9.1927665078197e-05,0.159441187,1.827448672,0.442281211,0.000180178,0.312504726,316.3860962,320.0409935,41.88425872,42.76882114,-0.001117383,-0.000757027,36.7624252,37.38743465,3.455375704,3.466838885,3.735479613,3.756355607,-0.53308207,-0.370012272,3.605215381,3.622049309,NA,NA,NA
"7","AB-DB-09","AB",50.554498,-113.076941,"DB","Cropland",84,84,0.08,NA,NA,21.04412605,18.45015784,2.593968216,NA,62.75663502,7.348984292,-0.000451917,1.861154387,1.994562112,-0.224078772,2.761919507,4.007842073,-0.00619623,6.76356535,1.126865073,1.38825296,-0.030976198,1.932726247,18323.5532318136,45538.0687470029,198414.12787839,5260331.62519637,NA,2.012583959,1.932726247,5,5,35.9516555,1.611197835,0.001316314,2.478750678,16.07806912,0.720549577,0.000588674,1.108531003,31.51301548,1.41227717,0.0011538,2.172720766,31.24361954,94.26965049,5.936707122,8.761261462,-0.001605718,0.000701883,4.590844585,8.936286116,1.228767375,2.25464157,1.808391186,2.183120113,-0.734899116,0.344110056,1.568451763,2.202413554,NA,NA,NA
"8","AB-DB-15","AB",50.593535,-113.029702,"DB","Grassland",20.9,NA,0.02,1855.535465,2.016764869,9.907363421,13.17996783,-3.27260441,NA,36.95660437,1.17854438,-0.001323281,1.373435992,0.164280101,-0.620958423,1.626460158,0.642730963,-0.018143485,2.251047636,0.742965908,-0.442029051,-0.090593456,0.967407592,38026.4175467008,137528.114503942,393371.58498695,5864802.85602877,NA,0.559604136,0.967407592,7,7,70.55392449,0.633205115,0.002597095,2.985203032,26.66687689,0.239329037,0.00098161,1.128300691,52.2670787,0.469084913,0.001923955,2.211469354,-15.31047433,89.22368307,0.709459467,1.647629293,-0.003247236,0.000600674,0.039578282,4.462516991,-0.705519912,2.200892576,0.347682452,0.751156549,-1.261434881,0.295995587,0.01978785,1.542519728,0.257646284187179,0.257199141051579,0.258093427322779
"9","AB-DB-17","AB",50.57055726,-113.0323032,"DB","Grassland",72.6,72.6,6.91,NA,NA,23.81101372,43.97358874,-20.16257502,NA,268.7013654,42.05455264,0.015171821,3.292397669,3.738967648,2.723756134,11.82554709,22.93487083,0.208020534,34.96843845,2.477337541,3.132658496,0.909448089,3.555262696,96982.4060173549,207493.870434293,372288.539131454,5954933.96737284,NA,3.739532593,3.555262696,2,2,209.0722207,38.13646259,0.017940566,30.24535242,147.836385,26.96655131,0.012685896,21.38669379,289.7593146,52.85444057,0.024864356,41.91791983,-21.0579492,558.46068,-10.79988793,94.90899321,-0.009692535,0.040036177,-6.94948138,76.88635829,-0.918287535,4.022919604,-2.388001119,4.553029464,-2.28183447,3.690406762,-1.958757956,4.342497584,NA,NA,NA
"10","AB01","AB",53.118354,-112.783658,NA,"Cropland",55.98,58.86666667,0.56,NA,NA,18.73888304,28.18117278,-9.442289742,18,78.38258584,18.39037098,0.030590252,2.074909583,2.911827212,3.421748326,3.449617603,10.02937272,0.41942233,13.89841265,1.313331206,2.30551806,1.486240342,2.63691179,16300.8419426278,95309.422341593,433516.709368239,11664041.4194319,0.432874412206298,2.914770963,2.63691179,9,9,87.00520609,12.50738382,0.10431389,11.58975921,29.00173536,4.16912794,0.034771297,3.863253071,56.84340131,8.171490762,0.068151742,7.571976019,21.53918452,135.2259871,10.21888022,26.56186175,-0.03756149,0.098741994,6.326436634,21.47038867,0.934758758,2.609786587,2.333678515,3.280890783,-3.626687356,4.592612871,1.868834701,3.068836993,NA,NA,NA
